layer_idx,module_type,layer_name,max_val,min_val,mean_val,kurtosis
9,Attention,self_attn.q_proj,17.75,-4.9375,0.23888327,27.397453
9,Attention,self_attn.k_proj,17.75,-4.9375,0.23888327,27.397453
9,Attention,self_attn.v_proj,17.75,-4.9375,0.23888327,27.397453
9,Attention,self_attn.o_proj,2.171875,-1.890625,0.06500194,9.162571
9,MLP,mlp.gate_proj,26.125,-5.25,0.2578674,82.17883
9,MLP,mlp.up_proj,26.125,-5.25,0.2578674,82.17883
9,MLP,mlp.down_proj,18.0,-2.453125,0.02248969,18125.352
10,Attention,self_attn.q_proj,41.5,-5.21875,0.25677982,461.87756
10,Attention,self_attn.k_proj,41.5,-5.21875,0.25677982,461.87756
10,Attention,self_attn.v_proj,41.5,-5.21875,0.25677982,461.87756
10,Attention,self_attn.o_proj,2.34375,-1.8984375,0.06463033,10.213497
10,MLP,mlp.gate_proj,46.25,-5.40625,0.27306652,561.6145
10,MLP,mlp.up_proj,46.25,-5.40625,0.27306652,561.6145
10,MLP,mlp.down_proj,2.265625,-45.25,0.024824787,215660.86
11,Attention,self_attn.q_proj,60.5,-5.90625,0.26824027,1473.2334
11,Attention,self_attn.k_proj,60.5,-5.90625,0.26824027,1473.2334
11,Attention,self_attn.v_proj,60.5,-5.90625,0.26824027,1473.2334
11,Attention,self_attn.o_proj,1.7578125,-2.5625,0.0927715,9.51249
11,MLP,mlp.gate_proj,61.5,-6.0,0.28476712,1249.2921
11,MLP,mlp.up_proj,61.5,-6.0,0.28476712,1249.2921
11,MLP,mlp.down_proj,10.9375,-15.1875,0.02435316,10723.29
12,Attention,self_attn.q_proj,64.5,-6.625,0.2808744,1491.5806
12,Attention,self_attn.k_proj,64.5,-6.625,0.2808744,1491.5806
12,Attention,self_attn.v_proj,64.5,-6.625,0.2808744,1491.5806
12,Attention,self_attn.o_proj,3.84375,-4.5625,0.07352185,19.661308
12,MLP,mlp.gate_proj,65.0,-6.71875,0.29985064,1214.8641
12,MLP,mlp.up_proj,65.0,-6.71875,0.29985064,1214.8641
12,MLP,mlp.down_proj,6.71875,-15.75,0.02755456,10824.16
13,Attention,self_attn.q_proj,70.0,-7.46875,0.29681876,1528.5626
13,Attention,self_attn.k_proj,70.0,-7.46875,0.29681876,1528.5626
13,Attention,self_attn.v_proj,70.0,-7.46875,0.29681876,1528.5626
13,Attention,self_attn.o_proj,21.5,-14.5,0.14894126,227.37503
13,MLP,mlp.gate_proj,69.5,-7.375,0.30827865,1320.3336
13,MLP,mlp.up_proj,69.5,-7.375,0.30827865,1320.3336
13,MLP,mlp.down_proj,19.375,-17.5,0.029378073,14052.898
14,Attention,self_attn.q_proj,72.0,-7.90625,0.30215025,1520.9191
14,Attention,self_attn.k_proj,72.0,-7.90625,0.30215025,1520.9191
14,Attention,self_attn.v_proj,72.0,-7.90625,0.30215025,1520.9191
14,Attention,self_attn.o_proj,4.5625,-7.34375,0.11520393,16.045544
14,MLP,mlp.gate_proj,72.0,-7.9375,0.32464647,1213.2162
14,MLP,mlp.up_proj,72.0,-7.9375,0.32464647,1213.2162
14,MLP,mlp.down_proj,6.0625,-5.5625,0.030678915,315.69608
15,Attention,self_attn.q_proj,72.5,-8.125,0.31640235,1339.2776
15,Attention,self_attn.k_proj,72.5,-8.125,0.31640235,1339.2776
15,Attention,self_attn.v_proj,72.5,-8.125,0.31640235,1339.2776
15,Attention,self_attn.o_proj,8.75,-5.46875,0.087936565,58.514923
15,MLP,mlp.gate_proj,72.5,-8.1875,0.33466098,1115.864
15,MLP,mlp.up_proj,72.5,-8.1875,0.33466098,1115.864
15,MLP,mlp.down_proj,8.75,-8.0,0.031917732,869.1946
16,Attention,self_attn.q_proj,73.0,-8.25,0.32868767,1178.6821
16,Attention,self_attn.k_proj,73.0,-8.25,0.32868767,1178.6821
16,Attention,self_attn.v_proj,73.0,-8.25,0.32868767,1178.6821
16,Attention,self_attn.o_proj,6.84375,-5.0,0.07371853,33.837612
16,MLP,mlp.gate_proj,73.0,-8.3125,0.3505656,963.35425
16,MLP,mlp.up_proj,73.0,-8.3125,0.3505656,963.35425
16,MLP,mlp.down_proj,13.6875,-35.75,0.0340858,44950.746
17,Attention,self_attn.q_proj,73.0,-8.5625,0.34961092,956.54724
17,Attention,self_attn.k_proj,73.0,-8.5625,0.34961092,956.54724
17,Attention,self_attn.v_proj,73.0,-8.5625,0.34961092,956.54724
17,Attention,self_attn.o_proj,26.5,-2.328125,0.07228737,3752.0144
17,MLP,mlp.gate_proj,73.0,-8.5625,0.35708597,890.8286
17,MLP,mlp.up_proj,73.0,-8.5625,0.35708597,890.8286
17,MLP,mlp.down_proj,44.0,-2.453125,0.033975225,70482.26
18,Attention,self_attn.q_proj,73.0,-8.375,0.3582458,870.92
18,Attention,self_attn.k_proj,73.0,-8.375,0.3582458,870.92
18,Attention,self_attn.v_proj,73.0,-8.375,0.3582458,870.92
18,Attention,self_attn.o_proj,4.8125,-4.0625,0.09299868,16.357365
18,MLP,mlp.gate_proj,73.0,-8.375,0.3835433,694.2471
18,MLP,mlp.up_proj,73.0,-8.375,0.3835433,694.2471
18,MLP,mlp.down_proj,22.125,-6.59375,0.04081146,7294.769
19,Attention,self_attn.q_proj,73.0,-8.1875,0.387554,660.60767
